,mean,date
453295.0,15763.52955328298,2011-06-01
453297.0,15808.097129329784,2011-06-01
453299.0,15780.535915720506,2011-06-01
453410.0,15356.47627315873,2011-06-01
453430.0,15574.764685315997,2011-06-01
453450.0,15752.964510487403,2011-06-01
453461.0,15808.298599851503,2011-06-01
453463.0,15790.870307776291,2011-06-01
453478.0,15818.355782547284,2011-06-01
453481.0,15754.998248701802,2011-06-01
453483.0,15903.23906270094,2011-06-01
453485.0,15667.84461694418,2011-06-01
453492.0,15821.595667711666,2011-06-01
453494.0,15688.588574362111,2011-06-01
453487.0,15735.724576721956,2011-06-01
453489.0,15697.38800853986,2011-06-01
453496.0,15741.045220309818,2011-06-01
453498.0,15638.025617128367,2011-06-01
453806.0,15182.982668600624,2011-06-01
453808.0,15027.321934532489,2011-06-01
454062.0,15817.584395291957,2011-06-01
454064.0,15698.779624473858,2011-06-01
454066.0,15885.50806266206,2011-06-01
454068.0,15711.333473143412,2011-06-01
452411.0,15198.528002486626,2011-06-01
452413.0,15254.343949607875,2011-06-01
452415.0,15213.7836175274,2011-06-01
452417.0,15325.08598520336,2011-06-01
452419.0,15266.66071386944,2011-06-01
452431.0,15494.16790120014,2011-06-01
452433.0,15581.730442443051,2011-06-01
452435.0,15751.32928264143,2011-06-01
452437.0,15597.623822007889,2011-06-01
453146.0,15502.701130220146,2011-06-01
453148.0,15382.014385856208,2011-06-01
453240.0,15520.25901024114,2011-06-01
453260.0,15728.81252921511,2011-06-01
453280.0,15655.736452279103,2011-06-01
453292.0,15629.87702716533,2011-06-01
453294.0,15768.91244635579,2011-06-01
453296.0,15793.794978685852,2011-06-01
453298.0,15790.694071706454,2011-06-01
453464.0,15774.584481621923,2011-06-01
453482.0,15773.816956502616,2011-06-01
453484.0,15750.074223066182,2011-06-01
453486.0,15683.83886229827,2011-06-01
453488.0,15655.196526197584,2011-06-01
452438.0,15764.555593598,2011-06-01
453471.0,15296.446308524624,2011-07-01
453473.0,15185.118472514834,2011-07-01
453475.0,15172.597048357098,2011-07-01
453477.0,15306.772357021007,2011-07-01
