JD,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2016,y2018,y2019,y2020,y2021
91.0,262.01,258.78,259.36,258.38,256.98,256.34,255.94,256.25,256.13,257.56,255.58,255.27,259.78,257.71,258.96,257.28,0.0,256.46,0.0,0.0
92.0,261.98,258.78,259.3,258.35,256.95,256.25,255.91,256.19,256.1,257.5,255.55,255.24,259.75,257.68,258.96,257.28,0.0,256.43,258.32,0.0
93.0,261.92,258.78,259.24,258.29,256.86,256.25,255.85,256.16,256.1,257.47,255.52,255.24,259.69,257.65,258.93,257.25,256.79,256.4,258.32,0.0
94.0,261.86,258.78,259.17,258.26,256.83,256.22,255.79,256.1,256.1,257.44,255.49,255.21,259.63,257.62,258.93,257.25,256.79,256.37,258.32,0.0
95.0,261.8,258.79,259.11,258.2,256.74,256.19,255.73,256.07,256.1,257.41,255.46,255.18,259.57,257.59,258.9,257.22,0.0,256.34,258.29,0.0
96.0,261.73,258.75,259.05,258.17,256.74,256.19,255.7,256.04,256.1,257.38,255.39,255.18,259.51,257.56,258.9,257.22,0.0,256.34,258.29,0.0
97.0,261.67,258.72,258.99,258.11,256.71,256.16,255.64,255.94,256.07,257.38,255.36,255.18,259.45,257.53,258.9,257.19,0.0,256.31,258.26,0.0
98.0,261.61,258.72,258.93,258.08,256.64,256.1,255.61,255.91,256.07,257.38,255.3,255.15,259.39,257.5,258.87,257.19,0.0,256.28,258.26,0.0
99.0,261.55,258.7,258.87,258.02,256.61,255.04,255.58,255.88,256.07,257.38,255.24,255.15,259.33,257.47,258.87,257.16,0.0,256.25,258.23,0.0
100.0,261.49,258.66,258.78,257.95,256.58,255.97,255.55,255.76,256.04,257.31,255.18,255.09,259.27,257.44,258.84,257.13,256.7,256.21,258.2,0.0
101.0,261.43,258.66,258.72,257.89,256.52,255.91,255.49,255.76,256.04,257.28,255.15,255.06,259.21,257.41,258.81,257.1,256.7,256.18,258.2,0.0
102.0,261.34,258.63,258.66,257.86,256.46,255.85,255.46,255.73,256.0,257.25,255.09,255.06,259.17,257.38,258.78,257.07,0.0,256.12,258.17,0.0
103.0,261.25,258.53,258.59,257.8,256.46,255.79,255.43,255.7,255.97,257.19,255.06,255.03,259.11,257.35,258.78,257.07,0.0,256.09,258.14,0.0
104.0,261.16,258.5,258.53,257.77,256.35,255.73,255.36,255.64,255.94,257.13,255.03,255.0,259.05,257.31,258.78,0.0,0.0,256.06,258.08,0.0
105.0,261.09,258.5,258.47,257.71,256.34,255.7,255.3,255.61,255.91,257.07,254.97,254.94,258.99,257.28,258.75,257.04,0.0,256.03,258.08,0.0
106.0,261.03,258.47,258.41,257.65,256.28,255.67,255.27,255.58,255.85,257.01,254.91,254.94,258.93,257.25,0.0,257.04,0.0,256.03,258.04,0.0
107.0,260.94,258.47,258.32,257.56,256.22,255.67,255.21,255.55,255.82,256.98,254.85,254.94,258.87,257.22,258.72,257.01,256.61,256.0,258.01,0.0
108.0,260.85,258.45,258.26,257.5,256.16,255.67,255.18,255.52,255.79,256.92,254.82,254.94,258.81,257.19,258.72,257.01,256.61,256.0,257.98,0.0
109.0,260.76,258.44,258.2,257.47,256.13,255.55,255.15,255.49,255.73,256.89,254.75,254.94,258.75,257.16,258.69,257.01,256.61,255.97,257.98,0.0
110.0,260.67,258.44,258.14,257.41,256.07,255.55,255.12,255.46,255.7,256.86,254.72,254.91,258.69,257.13,258.69,256.98,256.58,255.97,257.95,0.0
111.0,260.61,258.41,258.08,257.35,255.97,255.49,255.06,255.46,255.67,256.8,254.69,254.91,258.63,257.13,258.66,256.98,256.58,255.94,257.95,0.0
112.0,260.52,258.41,258.02,257.28,255.91,255.55,255.0,255.43,255.64,256.74,254.66,254.88,258.56,257.13,258.66,256.95,256.58,255.91,257.95,0.0
113.0,260.43,258.38,257.95,257.22,255.88,255.43,254.97,255.43,255.61,256.68,254.63,254.88,258.5,257.13,0.0,256.92,256.55,255.88,257.92,0.0
114.0,260.33,258.35,257.89,257.16,255.88,255.43,254.94,255.43,255.55,256.61,254.63,254.85,258.44,257.1,258.56,256.92,256.52,255.85,257.89,0.0
115.0,260.24,258.32,257.8,257.1,255.88,255.43,254.88,255.43,255.52,256.55,254.63,254.78,258.38,257.1,258.53,256.92,256.46,255.82,257.83,0.0
116.0,260.15,258.29,257.74,257.04,255.85,255.4,254.82,255.39,255.46,256.52,254.6,254.75,258.32,257.07,258.5,256.89,256.43,255.79,257.83,0.0
117.0,260.04,258.26,257.65,257.01,255.79,255.36,254.78,255.36,255.43,256.46,254.57,254.72,258.26,257.07,258.47,256.86,256.4,255.79,257.83,0.0
118.0,259.97,258.23,257.56,256.98,255.73,255.36,254.72,255.33,255.39,256.37,254.54,254.69,258.2,257.04,258.44,0.0,256.34,255.79,257.83,0.0
119.0,259.94,258.17,257.47,256.95,255.7,255.36,254.69,255.3,255.36,256.28,254.54,254.66,258.14,257.04,258.41,256.77,256.31,255.79,257.77,0.0
120.0,259.81,258.08,257.38,256.89,255.67,255.36,254.66,255.27,255.33,256.22,254.54,254.63,258.08,257.01,258.38,256.74,256.31,255.76,257.77,0.0
121.0,259.72,258.02,257.28,256.86,255.67,255.36,254.63,255.24,255.3,256.16,254.51,254.6,258.02,256.98,0.0,256.74,256.31,255.76,257.74,0.0
122.0,259.63,257.95,257.19,256.81,255.64,255.36,254.57,255.21,255.24,256.1,254.51,254.57,257.95,256.95,0.0,256.71,256.31,255.76,257.74,0.0
123.0,259.57,257.89,257.13,256.75,255.61,255.36,254.61,255.18,255.18,256.04,254.48,254.54,257.89,256.95,0.0,256.71,256.31,255.76,257.71,0.0
124.0,259.47,257.86,257.07,256.7,255.55,255.36,254.45,255.15,255.15,256.0,254.45,254.51,257.83,256.92,258.38,256.71,256.28,255.73,257.71,0.0
